150	102	15300	17	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"Calc. O"	"Total"
0	-8.3836	-3.9551	110	1	110	0.2939851	-1.563986E-02	53.96237	2.602	5.643692E-02	40.28298	-2.755611E-03	8.599266E-02	0.1306538	0	59.11677
0	-8.3826	-3.9551	111	1	111	0.3554685	8.263397E-03	54.46473	2.31016	0.0564181	40.88772	-2.830818E-03	-0.1252772	0.3432453	0	59.49234
0	-8.3816	-3.9551	112	1	112	0.5442778	3.234664E-02	53.93017	1.783768	4.245985E-02	41.70164	-4.888331E-02	-3.404072E-02	8.369148E-02	0	58.86568
0	-8.3806	-3.9551	113	1	113	0.7912505	7.998495E-02	51.00705	1.274306	3.711192E-02	42.29065	5.923499E-02	-6.744228E-02	0.3408781	0	56.89736
0	-8.3796	-3.9551	114	1	114	0.9536608	0.1069861	50.02235	0.840593	5.311811E-02	42.14001	0.0589938	-3.892535E-02	0.3394278	0	55.82532
0	-8.3786	-3.9551	115	1	115	1.185589	9.189377E-02	51.25224	0.9163793	3.517131E-02	42.93781	-3.427842E-02	0.1109596	0.3150903	0	57.2793
0	-8.3776	-3.9551	116	1	116	0.7393739	7.465687E-02	53.12449	1.188395	3.178677E-02	43.44163	-1.042461E-02	2.378462E-02	0.1997223	0	58.72366
0	-8.3766	-3.9551	117	1	117	0.453699	4.356005E-02	53.99994	1.705765	0.0353168	41.71966	2.062209E-02	-9.457064E-02	0.1544827	0	58.83935
0	-8.3756	-3.9551	118	1	118	0.212579	3.052363E-02	55.09158	2.125309	6.379812E-02	42.96668	2.076064E-02	0.116388	0.1070184	0	60.63062
0	-8.3746	-3.9551	119	1	119	0.0716928	-2.718134E-02	55.40442	2.17116	0.0531271	42.22142	-1.774924E-02	-0.062966	0.1084242	0	60.29634
0	-8.3736	-3.9551	120	1	120	0.1500619	-0.0248834	55.72491	2.073542	4.041431E-02	42.75394	1.252754E-02	0.1749348	0.1763857	0	60.95847
0	-8.3726	-3.9551	121	1	121	0.134053	-3.456361E-02	56.13685	2.187749	3.329698E-02	42.9265	-5.699104E-02	0.2051672	0.1764392	0	61.41995
0	-8.3716	-3.9551	122	1	122	0.1194302	-3.454871E-02	55.11488	2.274015	4.911143E-02	41.56276	-3.265894E-03	0.1137455	0.3175284	0	60.25367
0	-8.3706	-3.9551	123	1	123	6.264453E-02	-2.478595E-02	56.0337	2.262435	5.121588E-02	43.67597	-2.659209E-03	0.1454629	0.2479074	0	61.7703
0	-8.3696	-3.9551	124	1	124	0.1170219	-4.018575E-02	56.09039	2.376881	3.170659E-02	41.9523	-4.877471E-02	-9.351823E-02	0.226447	0	60.92908
0	-8.3686	-3.9551	125	1	125	0.1250235	-3.592558E-02	55.88447	2.293415	6.163901E-02	41.86022	-3.384548E-02	-6.561429E-02	0.3899931	0	60.8639
0	-8.3676	-3.9551	126	1	126	9.836446E-02	-1.468975E-02	55.34239	2.355521	6.354377E-02	42.03263	-0.0259687	-4.867251E-03	0.3193223	0	60.6107
0	-8.3666	-3.9551	127	1	127	8.435301E-02	-4.040888E-02	55.79003	2.195165	0.0477508	42.71423	-1.788685E-02	5.694636E-02	0.1076147	0	60.90507
0	-8.3656	-3.9551	128	1	128	9.046675E-02	-6.972179E-03	56.08526	2.146604	4.768647E-02	43.5502	-2.581883E-02	5.556796E-02	0.2720312	0	61.59131
0	-8.3646	-3.9551	129	1	129	0.1165166	-3.610533E-02	55.46617	2.241981	3.677401E-02	41.96915	-3.396828E-02	0.0241489	0.3655838	0	60.58776
0	-8.3636	-3.9551	130	1	130	7.754628E-02	2.971001E-03	55.80252	2.170486	3.516378E-02	42.51418	-5.681347E-02	0.0255356	0.2485136	0	60.89033
0	-8.3626	-3.9551	131	1	131	8.923119E-02	-2.289681E-02	55.78333	1.997271	4.581343E-02	42.16479	-2.591991E-02	-9.482969E-02	0.2726125	0	60.48174
0	-8.3616	-3.9551	132	1	132	0.1584532	-1.303593E-02	55.72059	2.107785	7.443741E-02	42.84359	-1.789289E-02	-3.42556E-03	0.1785783	0	60.91145
0	-8.3606	-3.9551	133	1	133	0.2492101	-2.052637E-02	56.04083	2.123761	3.641001E-02	41.1812	0.0270336	0.232788	0.3395202	0	60.7875
0	-8.3596	-3.9551	134	1	134	0.3303402	-2.166044E-02	54.87106	2.380989	7.590786E-02	42.22235	-4.176572E-02	8.371168E-02	0.4593382	0	60.68744
0	-8.3586	-3.9551	135	1	135	0.3741461	-3.561478E-02	55.24355	2.321929	6.099118E-02	40.6675	-1.206454E-02	0.2601035	0.5970455	0	60.49305
0	-8.3576	-3.9551	136	1	136	0.3956474	-1.291854E-02	54.84319	2.259237	4.331352E-02	41.11427	-3.517444E-02	0.4405561	0.454728	0	60.36837
0	-8.3566	-3.9551	137	1	137	0.4579708	-4.483125E-02	55.15993	2.393145	5.059538E-02	40.73065	-1.157726E-02	0.2322431	0.4572415	0	60.41238
0	-8.3556	-3.9551	138	1	138	0.4478447	-1.921495E-02	55.92937	2.417922	4.702595E-02	41.83525	-1.164314E-02	8.064109E-02	0.7638	0	61.60871
0	-8.3546	-3.9551	139	1	139	0.4727941	-3.652119E-02	55.44733	2.482328	5.623463E-02	42.30171	-4.970496E-02	0.1733194	0.5057067	0	61.38604
0	-8.3536	-3.9551	140	1	140	0.48434	-4.063008E-02	55.31496	2.168472	3.117005E-02	43.06626	-0.0347387	0.1405074	0.7395865	0	61.46679
0	-8.3526	-3.9551	141	1	141	0.4906945	-2.914898E-02	54.99403	2.199192	0.0539302	40.6378	-3.520001E-02	0.4110358	0.4314673	0	60.20841
